# E (eV)   ldos(E)   pdos(E)    pdos(E)    pdos(E)    pdos(E)    pdos(E)   
  -8.014  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
  -7.964  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
  -7.914  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
  -7.864  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
  -7.814  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
  -7.764  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
  -7.714  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
  -7.664  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
  -7.614  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
  -7.564  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
  -7.514  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
  -7.464  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
  -7.414  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
  -7.364  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
  -7.314  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
  -7.264  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
  -7.214  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
  -7.164  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
  -7.114  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
  -7.064  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
  -7.014  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
  -6.964  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
  -6.914  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
  -6.864  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
  -6.814  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
  -6.764  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
  -6.714  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
  -6.664  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
  -6.614  0.737E-13  0.874E-14  0.282E-13  0.942E-14  0.683E-14  0.205E-13
  -6.564  0.201E-11  0.236E-12  0.770E-12  0.257E-12  0.186E-12  0.558E-12
  -6.514  0.435E-10  0.509E-11  0.167E-10  0.557E-11  0.404E-11  0.121E-10
  -6.464  0.755E-09  0.878E-10  0.290E-09  0.967E-10  0.701E-10  0.210E-09
  -6.414  0.105E-07  0.122E-08  0.406E-08  0.135E-08  0.981E-09  0.294E-08
  -6.364  0.119E-06  0.137E-07  0.458E-07  0.153E-07  0.111E-07  0.332E-07
  -6.314  0.108E-05  0.123E-06  0.417E-06  0.139E-06  0.101E-06  0.302E-06
  -6.264  0.797E-05  0.899E-06  0.307E-05  0.103E-05  0.743E-06  0.223E-05
  -6.214  0.475E-04  0.530E-05  0.184E-04  0.613E-05  0.444E-05  0.133E-04
  -6.164  0.231E-03  0.254E-04  0.893E-04  0.298E-04  0.216E-04  0.647E-04
  -6.114  0.916E-03  0.987E-04  0.355E-03  0.119E-03  0.859E-04  0.257E-03
  -6.064  0.298E-02  0.314E-03  0.116E-02  0.388E-03  0.281E-03  0.840E-03
  -6.014  0.806E-02  0.820E-03  0.315E-02  0.105E-02  0.762E-03  0.228E-02
  -5.964  0.183E-01  0.177E-02  0.717E-02  0.240E-02  0.174E-02  0.519E-02
  -5.914  0.354E-01  0.321E-02  0.140E-01  0.467E-02  0.339E-02  0.101E-01
  -5.864  0.600E-01  0.495E-02  0.239E-01  0.799E-02  0.582E-02  0.174E-01
  -5.814  0.923E-01  0.661E-02  0.370E-01  0.124E-01  0.909E-02  0.271E-01
  -5.764  0.133E+00  0.786E-02  0.541E-01  0.181E-01  0.134E-01  0.399E-01
  -5.714  0.185E+00  0.856E-02  0.758E-01  0.254E-01  0.190E-01  0.566E-01
  -5.664  0.246E+00  0.872E-02  0.101E+00  0.340E-01  0.257E-01  0.765E-01
  -5.614  0.302E+00  0.835E-02  0.125E+00  0.418E-01  0.320E-01  0.952E-01
  -5.564  0.329E+00  0.740E-02  0.136E+00  0.456E-01  0.352E-01  0.105E+00
  -5.514  0.308E+00  0.590E-02  0.127E+00  0.427E-01  0.332E-01  0.987E-01
  -5.464  0.242E+00  0.411E-02  0.100E+00  0.335E-01  0.262E-01  0.780E-01
  -5.414  0.157E+00  0.244E-02  0.649E-01  0.218E-01  0.171E-01  0.509E-01
  -5.364  0.836E-01  0.121E-02  0.346E-01  0.116E-01  0.912E-02  0.272E-01
  -5.314  0.362E-01  0.498E-03  0.150E-01  0.501E-02  0.396E-02  0.118E-01
  -5.264  0.127E-01  0.168E-03  0.525E-02  0.176E-02  0.139E-02  0.415E-02
  -5.214  0.361E-02  0.461E-04  0.149E-02  0.499E-03  0.396E-03  0.118E-02
  -5.164  0.826E-03  0.103E-04  0.341E-03  0.114E-03  0.907E-04  0.270E-03
  -5.114  0.152E-03  0.185E-05  0.628E-04  0.210E-04  0.167E-04  0.499E-04
  -5.064  0.226E-04  0.269E-06  0.932E-05  0.312E-05  0.249E-05  0.741E-05
  -5.014  0.270E-05  0.316E-07  0.111E-05  0.372E-06  0.297E-06  0.885E-06
  -4.964  0.258E-06  0.298E-08  0.106E-06  0.356E-07  0.285E-07  0.849E-07
  -4.914  0.199E-07  0.226E-09  0.819E-08  0.274E-08  0.219E-08  0.653E-08
  -4.864  0.123E-08  0.138E-10  0.505E-09  0.169E-09  0.135E-09  0.404E-09
  -4.814  0.611E-10  0.759E-12  0.251E-10  0.841E-11  0.674E-11  0.201E-10
  -4.764  0.877E-11  0.157E-11  0.308E-11  0.103E-11  0.775E-12  0.232E-11
  -4.714  0.965E-10  0.233E-10  0.317E-10  0.106E-10  0.773E-11  0.232E-10
  -4.664  0.118E-08  0.284E-09  0.388E-09  0.130E-09  0.943E-10  0.283E-09
  -4.614  0.117E-07  0.280E-08  0.385E-08  0.129E-08  0.933E-09  0.280E-08
  -4.564  0.937E-07  0.224E-07  0.310E-07  0.104E-07  0.749E-08  0.225E-07
  -4.514  0.613E-06  0.146E-06  0.204E-06  0.681E-07  0.490E-07  0.147E-06
  -4.464  0.328E-05  0.774E-06  0.109E-05  0.366E-06  0.262E-06  0.786E-06
  -4.414  0.144E-04  0.337E-05  0.482E-05  0.161E-05  0.115E-05  0.345E-05
  -4.364  0.519E-04  0.121E-04  0.174E-04  0.585E-05  0.414E-05  0.124E-04
  -4.314  0.154E-03  0.355E-04  0.520E-04  0.175E-04  0.123E-04  0.368E-04
  -4.264  0.377E-03  0.861E-04  0.128E-03  0.431E-04  0.301E-04  0.901E-04
  -4.214  0.767E-03  0.173E-03  0.262E-03  0.881E-04  0.610E-04  0.183E-03
  -4.164  0.131E-02  0.290E-03  0.450E-03  0.152E-03  0.104E-03  0.311E-03
  -4.114  0.190E-02  0.412E-03  0.662E-03  0.224E-03  0.151E-03  0.451E-03
  -4.064  0.244E-02  0.512E-03  0.865E-03  0.294E-03  0.193E-03  0.576E-03
  -4.014  0.287E-02  0.576E-03  0.104E-02  0.356E-03  0.227E-03  0.673E-03
  -3.964  0.318E-02  0.606E-03  0.118E-02  0.407E-03  0.250E-03  0.740E-03
  -3.914  0.333E-02  0.602E-03  0.126E-02  0.437E-03  0.260E-03  0.766E-03
  -3.864  0.328E-02  0.562E-03  0.127E-02  0.443E-03  0.256E-03  0.747E-03
  -3.814  0.316E-02  0.504E-03  0.126E-02  0.445E-03  0.247E-03  0.708E-03
  -3.764  0.321E-02  0.463E-03  0.132E-02  0.473E-03  0.251E-03  0.701E-03
  -3.714  0.350E-02  0.460E-03  0.148E-02  0.537E-03  0.274E-03  0.748E-03
  -3.664  0.385E-02  0.473E-03  0.166E-02  0.607E-03  0.302E-03  0.809E-03
  -3.614  0.396E-02  0.463E-03  0.173E-02  0.636E-03  0.312E-03  0.822E-03
  -3.564  0.373E-02  0.416E-03  0.165E-02  0.611E-03  0.297E-03  0.763E-03
  -3.514  0.337E-02  0.350E-03  0.151E-02  0.567E-03  0.274E-03  0.673E-03
