    1.1666   -3.9003	  0.18419335E+01 -0.39015432E+01
    1.1821   -3.9087	  0.18664958E+01 -0.39102111E+01
    1.1977   -3.9116	  0.18910581E+01 -0.39115705E+01
    0.0000   -2.7646	  0.00000000E+00 -0.27646256E+01
    0.0157   -2.7625	  0.24810378E-01 -0.27629802E+01
    0.0314   -2.7560	  0.49620756E-01 -0.27568163E+01
    0.0471   -2.7454	  0.74431134E-01 -0.27463041E+01
    0.0629   -2.7310	  0.99241512E-01 -0.27316579E+01
    0.0786   -2.7130	  0.12405189E+00 -0.27130492E+01
    0.0943   -2.6922	  0.14886227E+00 -0.26908985E+01
    0.1100   -2.6691	  0.17367265E+00 -0.26663004E+01
    0.1257   -2.6446	  0.19848302E+00 -0.26410370E+01
    0.1414   -2.6195	  0.22329340E+00 -0.26169478E+01
    0.1571   -2.5950	  0.24810378E+00 -0.25950013E+01
    0.1728   -2.5718	  0.27291416E+00 -0.25747778E+01
    0.1886   -2.5504	  0.29772454E+00 -0.25550283E+01
    0.2043   -2.5312	  0.32253491E+00 -0.25351287E+01
    0.2200   -2.5142	  0.34734529E+00 -0.25159562E+01
    0.2357   -2.4990	  0.37215567E+00 -0.24990431E+01
    0.2514   -2.4853	  0.39696605E+00 -0.24849922E+01
    0.2671   -2.4723	  0.42177643E+00 -0.24728826E+01
    0.2828   -2.4593	  0.44658680E+00 -0.24608409E+01
    0.2986   -2.4452	  0.47139718E+00 -0.24467335E+01
    0.3143   -2.4282	  0.49620756E+00 -0.24281765E+01
    0.3300   -2.4053	  0.52101794E+00 -0.24018994E+01
    0.3457   -2.3715	  0.54582832E+00 -0.23634830E+01
    0.3614   -2.3207	  0.57063869E+00 -0.23095668E+01
    0.3771   -2.2499	  0.59544907E+00 -0.22412921E+01
    0.3928   -2.1621	  0.62025945E+00 -0.21620966E+01
    0.4086   -2.0631	  0.64506983E+00 -0.20730370E+01
    0.4243   -1.9575	  0.66988021E+00 -0.19732424E+01
    0.4400   -1.8485	  0.69469058E+00 -0.18632187E+01
    0.4557   -1.7417	  0.71950096E+00 -0.17491358E+01
    0.4714   -1.7119	  0.74431134E+00 -0.17118732E+01
    0.4874   -1.7235	  0.76952293E+00 -0.17279890E+01
    0.5033   -1.7978	  0.79473451E+00 -0.18089455E+01
    0.5193   -1.8801	  0.81994610E+00 -0.18915415E+01
    0.5353   -1.9603	  0.84515769E+00 -0.19681850E+01
    0.5512   -2.0365	  0.87036928E+00 -0.20399722E+01
    0.5672   -2.1077	  0.89558086E+00 -0.21082514E+01
    0.5832   -2.1725	  0.92079245E+00 -0.21727989E+01
    0.5991   -2.2298	  0.94600404E+00 -0.22315797E+01
    0.6151   -2.2784	  0.97121562E+00 -0.22817378E+01
    0.6311   -2.3178	  0.99642721E+00 -0.23213736E+01
    0.6470   -2.3485	  0.10216388E+01 -0.23509324E+01
    0.6630   -2.3718	  0.10468504E+01 -0.23727681E+01
    0.6790   -2.3894	  0.10720620E+01 -0.23894900E+01
    0.6950   -2.4026	  0.10972736E+01 -0.24028145E+01
    0.7109   -2.4126	  0.11224851E+01 -0.24134851E+01
    0.7269   -2.4203	  0.11476967E+01 -0.24217747E+01
    0.7429   -2.4263	  0.11729083E+01 -0.24279130E+01
    0.7588   -2.4308	  0.11981199E+01 -0.24322056E+01
    0.7748   -2.4341	  0.12233315E+01 -0.24350221E+01
    0.7908   -2.4364	  0.12485431E+01 -0.24367914E+01
    0.8067   -2.4378	  0.12737547E+01 -0.24379288E+01
    0.8227   -2.4383	  0.12989663E+01 -0.24386402E+01
    0.8387   -2.4380	  0.13241778E+01 -0.24387626E+01
    0.8546   -2.4368	  0.13493894E+01 -0.24378675E+01
    0.8706   -2.4348	  0.13746010E+01 -0.24355839E+01
    0.8866   -2.4319	  0.13998126E+01 -0.24318473E+01
    0.9021   -2.4480	  0.14243749E+01 -0.24484138E+01
    0.9177   -2.4617	  0.14489372E+01 -0.24630166E+01
    0.9332   -2.4745	  0.14734994E+01 -0.24760535E+01
    0.9488   -2.4874	  0.14980617E+01 -0.24882707E+01
    0.9643   -2.5012	  0.15226240E+01 -0.25010865E+01
    0.9799   -2.5165	  0.15471863E+01 -0.25159507E+01
    0.9955   -2.5336	  0.15717485E+01 -0.25335176E+01
    1.0110   -2.5529	  0.15963108E+01 -0.25534200E+01
    1.0266   -2.5742	  0.16208731E+01 -0.25748433E+01
    1.0421   -2.5974	  0.16454354E+01 -0.25973175E+01
    1.0577   -2.6218	  0.16699976E+01 -0.26208531E+01
    1.0732   -2.6465	  0.16945599E+01 -0.26453288E+01
    1.0888   -2.6708	  0.17191222E+01 -0.26699283E+01
    1.1044   -2.6935	  0.17436844E+01 -0.26932597E+01
    1.1199   -2.7140	  0.17682467E+01 -0.27140227E+01
    1.1355   -2.7316	  0.17928090E+01 -0.27315697E+01
    1.1510   -2.7458	  0.18173713E+01 -0.27457947E+01
    1.1666   -2.7562	  0.18419335E+01 -0.27565014E+01
    1.1821   -2.7625	  0.18664958E+01 -0.27630314E+01
    1.1977   -2.7646	  0.18910581E+01 -0.27646256E+01
    0.0000   -2.2993	  0.00000000E+00 -0.22993158E+01
    0.0157   -2.2984	  0.24810378E-01 -0.22982539E+01
    0.0314   -2.2958	  0.49620756E-01 -0.22954915E+01
    0.0471   -2.2912	  0.74431134E-01 -0.22909383E+01
    0.0629   -2.2845	  0.99241512E-01 -0.22843707E+01
    0.0786   -2.2754	  0.12405189E+00 -0.22753997E+01
    0.0943   -2.2634	  0.14886227E+00 -0.22634539E+01
    0.1100   -2.2478	  0.17367265E+00 -0.22478491E+01
    0.1257   -2.2281	  0.19848302E+00 -0.22279097E+01
    0.1414   -2.2034	  0.22329340E+00 -0.22030691E+01
    0.1571   -2.1729	  0.24810378E+00 -0.21729203E+01
    0.1728   -2.1360	  0.27291416E+00 -0.21370835E+01
    0.1886   -2.0924	  0.29772454E+00 -0.20948327E+01
    0.2043   -2.0419	  0.32253491E+00 -0.20450789E+01
    0.2200   -1.9849	  0.34734529E+00 -0.19872332E+01
    0.2357   -1.9221	  0.37215567E+00 -0.19221168E+01
    0.2514   -1.8546	  0.39696605E+00 -0.18519606E+01
    0.2671   -1.7848	  0.42177643E+00 -0.17805993E+01
    0.2828   -1.7220	  0.44658680E+00 -0.17192322E+01
    0.2986   -1.6946	  0.47139718E+00 -0.16942099E+01
    0.3143   -1.6911	  0.49620756E+00 -0.16910784E+01
    0.3300   -1.6924	  0.52101794E+00 -0.16923576E+01
    0.3457   -1.6947	  0.54582832E+00 -0.16946469E+01
    0.3614   -1.6973	  0.57063869E+00 -0.16971468E+01
    0.3771   -1.6997	  0.59544907E+00 -0.16996131E+01
    0.3928   -1.7019	  0.62025945E+00 -0.17019106E+01
    0.4086   -1.7037	  0.64506983E+00 -0.17038697E+01
    0.4243   -1.7051	  0.66988021E+00 -0.17052818E+01
    0.4400   -1.7057	  0.69469058E+00 -0.17058643E+01
    0.4557   -1.7024	  0.71950096E+00 -0.17029794E+01
    0.4714   -1.6627	  0.74431134E+00 -0.16626637E+01
    0.4874   -1.6955	  0.76952293E+00 -0.16975662E+01
    0.5033   -1.7053	  0.79473451E+00 -0.17053703E+01
    0.5193   -1.7053	  0.81994610E+00 -0.17054975E+01
    0.5353   -1.7045	  0.84515769E+00 -0.17046917E+01
    0.5512   -1.7032	  0.87036928E+00 -0.17033760E+01
    0.5672   -1.7017	  0.89558086E+00 -0.17017418E+01
    0.5832   -1.7000	  0.92079245E+00 -0.16999572E+01
    0.5991   -1.6983	  0.94600404E+00 -0.16981493E+01
    0.6151   -1.6964	  0.97121562E+00 -0.16963855E+01
    0.6311   -1.6946	  0.99642721E+00 -0.16946851E+01
    0.6470   -1.6929	  0.10216388E+01 -0.16930475E+01
    0.6630   -1.6913	  0.10468504E+01 -0.16914887E+01
    0.6790   -1.6901	  0.10720620E+01 -0.16900718E+01
    0.6950   -1.6891	  0.10972736E+01 -0.16889119E+01
    0.7109   -1.6884	  0.11224851E+01 -0.16881457E+01
    0.7269   -1.6882	  0.11476967E+01 -0.16878802E+01
    0.7429   -1.6883	  0.11729083E+01 -0.16881299E+01
    0.7588   -1.6887	  0.11981199E+01 -0.16887557E+01
    0.7748   -1.6894	  0.12233315E+01 -0.16894781E+01
    0.7908   -1.6901	  0.12485431E+01 -0.16900378E+01
    0.8067   -1.6907	  0.12737547E+01 -0.16903817E+01
    0.8227   -1.6912	  0.12989663E+01 -0.16906378E+01
    0.8387   -1.6914	  0.13241778E+01 -0.16909047E+01
    0.8546   -1.6914	  0.13493894E+01 -0.16911413E+01
    0.8706   -1.6913	  0.13746010E+01 -0.16912501E+01
    0.8866   -1.6912	  0.13998126E+01 -0.16911944E+01
    0.9021   -1.6968	  0.14243749E+01 -0.16973626E+01
    0.9177   -1.7316	  0.14489372E+01 -0.17324869E+01
    0.9332   -1.7966	  0.14734994E+01 -0.17969337E+01
    0.9488   -1.8657	  0.14980617E+01 -0.18655932E+01
    0.9643   -1.9319	  0.15226240E+01 -0.19319266E+01
    0.9799   -1.9933	  0.15471863E+01 -0.19938896E+01
    0.9955   -2.0488	  0.15717485E+01 -0.20499704E+01
    1.0110   -2.0980	  0.15963108E+01 -0.20991032E+01
    1.0266   -2.1404	  0.16208731E+01 -0.21410268E+01
    1.0421   -2.1762	  0.16454354E+01 -0.21761842E+01
    1.0577   -2.2058	  0.16699976E+01 -0.22052959E+01
    1.0732   -2.2298	  0.16945599E+01 -0.22291141E+01
    1.0888   -2.2490	  0.17191222E+01 -0.22483883E+01
    1.1044   -2.2642	  0.17436844E+01 -0.22638121E+01
    1.1199   -2.2759	  0.17682467E+01 -0.22759395E+01
    1.1355   -2.2849	  0.17928090E+01 -0.22851665E+01
    1.1510   -2.2914	  0.18173713E+01 -0.22917937E+01
    1.1666   -2.2959	  0.18419335E+01 -0.22961285E+01
    1.1821   -2.2985	  0.18664958E+01 -0.22985300E+01
    1.1977   -2.2993	  0.18910581E+01 -0.22993158E+01
    0.0000   -1.6643	  0.00000000E+00 -0.16643299E+01
    0.0157   -1.6616	  0.24810378E-01 -0.16602478E+01
    0.0314   -1.6537	  0.49620756E-01 -0.16514057E+01
    0.0471   -1.6417	  0.74431134E-01 -0.16395408E+01
    0.0629   -1.6295	  0.99241512E-01 -0.16285486E+01
    0.0786   -1.6232	  0.12405189E+00 -0.16232358E+01
    0.0943   -1.6224	  0.14886227E+00 -0.16224604E+01
    0.1100   -1.6241	  0.17367265E+00 -0.16238183E+01
    0.1257   -1.6268	  0.19848302E+00 -0.16264442E+01
    0.1414   -1.6303	  0.22329340E+00 -0.16299893E+01
    0.1571   -1.6342	  0.24810378E+00 -0.16341630E+01
    0.1728   -1.6383	  0.27291416E+00 -0.16386613E+01
    0.1886   -1.6427	  0.29772454E+00 -0.16432030E+01
    0.2043   -1.6471	  0.32253491E+00 -0.16475782E+01
    0.2200   -1.6514	  0.34734529E+00 -0.16516656E+01
    0.2357   -1.6553	  0.37215567E+00 -0.16553403E+01
    0.2514   -1.6584	  0.39696605E+00 -0.16581625E+01
    0.2671   -1.6590	  0.42177643E+00 -0.16583174E+01
    0.2828   -1.6483	  0.44658680E+00 -0.16462911E+01
    0.2986   -1.6401	  0.47139718E+00 -0.16401296E+01
    0.3143   -1.6431	  0.49620756E+00 -0.16430820E+01
    0.3300   -1.6460	  0.52101794E+00 -0.16460107E+01
    0.3457   -1.6489	  0.54582832E+00 -0.16488681E+01
    0.3614   -1.6516	  0.57063869E+00 -0.16515782E+01
    0.3771   -1.6540	  0.59544907E+00 -0.16540672E+01
    0.3928   -1.6563	  0.62025945E+00 -0.16562835E+01
    0.4086   -1.6582	  0.64506983E+00 -0.16581906E+01
    0.4243   -1.6598	  0.66988021E+00 -0.16597484E+01
    0.4400   -1.6609	  0.69469058E+00 -0.16609047E+01
    0.4557   -1.6615	  0.71950096E+00 -0.16615589E+01
    0.4714   -1.6334	  0.74431134E+00 -0.16333934E+01
    0.4874   -1.6616	  0.76952293E+00 -0.16615509E+01
    0.5033   -1.6615	  0.79473451E+00 -0.16613851E+01
    0.5193   -1.6610	  0.81994610E+00 -0.16609426E+01
    0.5353   -1.6604	  0.84515769E+00 -0.16603733E+01
    0.5512   -1.6597	  0.87036928E+00 -0.16597005E+01
    0.5672   -1.6588	  0.89558086E+00 -0.16589177E+01
    0.5832   -1.6578	  0.92079245E+00 -0.16580116E+01
    0.5991   -1.6568	  0.94600404E+00 -0.16569768E+01
    0.6151   -1.6557	  0.97121562E+00 -0.16558190E+01
    0.6311   -1.6545	  0.99642721E+00 -0.16545645E+01
    0.6470   -1.6533	  0.10216388E+01 -0.16532705E+01
    0.6630   -1.6521	  0.10468504E+01 -0.16520075E+01
    0.6790   -1.6508	  0.10720620E+01 -0.16508158E+01
    0.6950   -1.6496	  0.10972736E+01 -0.16496790E+01
    0.7109   -1.6484	  0.11224851E+01 -0.16485496E+01
    0.7269   -1.6472	  0.11476967E+01 -0.16474016E+01
    0.7429   -1.6460	  0.11729083E+01 -0.16462618E+01
    0.7588   -1.6450	  0.11981199E+01 -0.16451947E+01
    0.7748   -1.6440	  0.12233315E+01 -0.16442477E+01
    0.7908   -1.6432	  0.12485431E+01 -0.16434215E+01
    0.8067   -1.6426	  0.12737547E+01 -0.16427200E+01
