# E (eV)   ldos(E)   pdos(E)   
   7.764  0.396E-01  0.396E-01
   7.814  0.405E-01  0.405E-01
   7.864  0.431E-01  0.431E-01
   7.914  0.459E-01  0.459E-01
   7.964  0.490E-01  0.490E-01
   8.014  0.534E-01  0.534E-01
   8.064  0.595E-01  0.595E-01
   8.114  0.662E-01  0.662E-01
   8.164  0.708E-01  0.708E-01
   8.214  0.708E-01  0.708E-01
   8.264  0.669E-01  0.669E-01
   8.314  0.612E-01  0.612E-01
   8.364  0.562E-01  0.562E-01
   8.414  0.525E-01  0.525E-01
   8.464  0.499E-01  0.499E-01
   8.514  0.473E-01  0.473E-01
   8.564  0.437E-01  0.437E-01
   8.614  0.399E-01  0.399E-01
   8.664  0.389E-01  0.389E-01
   8.714  0.442E-01  0.442E-01
   8.764  0.560E-01  0.560E-01
   8.814  0.699E-01  0.699E-01
   8.864  0.792E-01  0.792E-01
   8.914  0.793E-01  0.793E-01
   8.964  0.703E-01  0.703E-01
   9.014  0.566E-01  0.566E-01
   9.064  0.436E-01  0.436E-01
   9.114  0.345E-01  0.345E-01
   9.164  0.296E-01  0.296E-01
   9.214  0.281E-01  0.281E-01
   9.264  0.290E-01  0.290E-01
   9.314  0.328E-01  0.328E-01
   9.364  0.398E-01  0.398E-01
   9.414  0.496E-01  0.496E-01
   9.464  0.606E-01  0.606E-01
   9.514  0.701E-01  0.701E-01
   9.564  0.759E-01  0.759E-01
   9.614  0.766E-01  0.766E-01
   9.664  0.719E-01  0.719E-01
   9.714  0.644E-01  0.644E-01
   9.764  0.594E-01  0.594E-01
   9.814  0.620E-01  0.620E-01
   9.864  0.709E-01  0.709E-01
   9.914  0.778E-01  0.778E-01
   9.964  0.741E-01  0.741E-01
  10.014  0.587E-01  0.587E-01
  10.064  0.381E-01  0.381E-01
  10.114  0.202E-01  0.202E-01
  10.164  0.872E-02  0.872E-02
  10.214  0.308E-02  0.308E-02
  10.264  0.889E-03  0.889E-03
  10.314  0.210E-03  0.210E-03
  10.364  0.408E-04  0.408E-04
  10.414  0.650E-05  0.650E-05
  10.464  0.850E-06  0.850E-06
  10.514  0.911E-07  0.911E-07
