# E (eV)   ldos(E)   pdos(E)    pdos(E)    pdos(E)   
  -2.605  0.475E+00  0.474E+00  0.398E-03  0.398E-03
  -2.555  0.602E+00  0.601E+00  0.433E-03  0.433E-03
  -2.505  0.653E+00  0.652E+00  0.419E-03  0.419E-03
  -2.455  0.609E+00  0.608E+00  0.359E-03  0.359E-03
  -2.405  0.498E+00  0.497E+00  0.281E-03  0.281E-03
  -2.355  0.371E+00  0.370E+00  0.221E-03  0.221E-03
  -2.305  0.266E+00  0.266E+00  0.216E-03  0.216E-03
  -2.255  0.194E+00  0.193E+00  0.290E-03  0.290E-03
  -2.205  0.148E+00  0.147E+00  0.471E-03  0.471E-03
  -2.155  0.118E+00  0.117E+00  0.855E-03  0.855E-03
  -2.105  0.982E-01  0.943E-01  0.195E-02  0.195E-02
  -2.055  0.886E-01  0.762E-01  0.621E-02  0.621E-02
  -2.005  0.107E+00  0.607E-01  0.230E-01  0.230E-01
  -1.955  0.206E+00  0.473E-01  0.796E-01  0.796E-01
  -1.905  0.503E+00  0.369E-01  0.233E+00  0.233E+00
  -1.855  0.115E+01  0.301E-01  0.562E+00  0.562E+00
  -1.805  0.225E+01  0.265E-01  0.111E+01  0.111E+01
  -1.755  0.360E+01  0.246E-01  0.179E+01  0.179E+01
  -1.705  0.472E+01  0.228E-01  0.235E+01  0.235E+01
  -1.655  0.505E+01  0.201E-01  0.252E+01  0.252E+01
  -1.605  0.442E+01  0.169E-01  0.220E+01  0.220E+01
  -1.555  0.315E+01  0.143E-01  0.157E+01  0.157E+01
  -1.505  0.184E+01  0.128E-01  0.915E+00  0.915E+00
  -1.455  0.890E+00  0.122E-01  0.439E+00  0.439E+00
  -1.405  0.366E+00  0.120E-01  0.177E+00  0.177E+00
  -1.355  0.141E+00  0.115E-01  0.648E-01  0.648E-01
  -1.305  0.641E-01  0.106E-01  0.267E-01  0.267E-01
  -1.255  0.432E-01  0.967E-02  0.168E-01  0.168E-01
  -1.205  0.393E-01  0.923E-02  0.150E-01  0.150E-01
  -1.155  0.395E-01  0.975E-02  0.149E-01  0.149E-01
  -1.105  0.406E-01  0.112E-01  0.147E-01  0.147E-01
  -1.055  0.418E-01  0.131E-01  0.143E-01  0.143E-01
  -1.005  0.426E-01  0.148E-01  0.139E-01  0.139E-01
  -0.955  0.422E-01  0.160E-01  0.131E-01  0.131E-01
  -0.905  0.403E-01  0.164E-01  0.119E-01  0.119E-01
  -0.855  0.370E-01  0.162E-01  0.104E-01  0.104E-01
  -0.805  0.329E-01  0.153E-01  0.878E-02  0.878E-02
  -0.755  0.291E-01  0.142E-01  0.748E-02  0.748E-02
  -0.705  0.267E-01  0.133E-01  0.671E-02  0.671E-02
  -0.655  0.263E-01  0.134E-01  0.647E-02  0.647E-02
  -0.605  0.277E-01  0.145E-01  0.658E-02  0.658E-02
  -0.555  0.297E-01  0.161E-01  0.678E-02  0.678E-02
  -0.505  0.310E-01  0.173E-01  0.684E-02  0.684E-02
  -0.455  0.309E-01  0.175E-01  0.669E-02  0.669E-02
  -0.405  0.292E-01  0.165E-01  0.635E-02  0.635E-02
  -0.355  0.266E-01  0.148E-01  0.592E-02  0.592E-02
  -0.305  0.238E-01  0.129E-01  0.545E-02  0.545E-02
  -0.255  0.212E-01  0.114E-01  0.493E-02  0.493E-02
  -0.205  0.190E-01  0.102E-01  0.439E-02  0.439E-02
  -0.155  0.172E-01  0.948E-02  0.386E-02  0.386E-02
  -0.105  0.158E-01  0.908E-02  0.338E-02  0.338E-02
  -0.055  0.148E-01  0.893E-02  0.294E-02  0.294E-02
  -0.005  0.140E-01  0.893E-02  0.253E-02  0.253E-02
   0.045  0.133E-01  0.896E-02  0.215E-02  0.215E-02
   0.095  0.125E-01  0.892E-02  0.179E-02  0.179E-02
