  0.00000000E+00 -0.39694583E+01	    0.0000   -3.9695
  0.24646505E-01 -0.39714797E+01	    0.0157   -3.9666
  0.49293010E-01 -0.39659094E+01	    0.0314   -3.9580
  0.73939515E-01 -0.39515874E+01	    0.0471   -3.9438
  0.98586020E-01 -0.39286666E+01	    0.0629   -3.9239
  0.12323252E+00 -0.38984614E+01	    0.0786   -3.8985
  0.14787903E+00 -0.38628938E+01	    0.0943   -3.8675
  0.17252553E+00 -0.38237669E+01	    0.1100   -3.8312
  0.19717204E+00 -0.37821887E+01	    0.1257   -3.7897
  0.22181854E+00 -0.37383939E+01	    0.1414   -3.7432
  0.24646505E+00 -0.36918779E+01	    0.1571   -3.6919
  0.27111155E+00 -0.36415435E+01	    0.1728   -3.6362
  0.29575806E+00 -0.35858819E+01	    0.1886   -3.5767
  0.32040456E+00 -0.35236817E+01	    0.2043   -3.5141
  0.34505107E+00 -0.34554346E+01	    0.2200   -3.4495
  0.36969757E+00 -0.33844332E+01	    0.2357   -3.3844
  0.39434408E+00 -0.33162930E+01	    0.2514   -3.3215
  0.41899058E+00 -0.32568931E+01	    0.2671   -3.2639
  0.44363709E+00 -0.32097579E+01	    0.2828   -3.2150
  0.46828359E+00 -0.31746564E+01	    0.2986   -3.1769
  0.49293010E+00 -0.31488842E+01	    0.3143   -3.1489
  0.51757660E+00 -0.31296334E+01	    0.3300   -3.1288
  0.54222311E+00 -0.31150676E+01	    0.3457   -3.1143
  0.56686961E+00 -0.31040944E+01	    0.3614   -3.1036
  0.59151612E+00 -0.30959189E+01	    0.3771   -3.0958
  0.61616262E+00 -0.30898909E+01	    0.3928   -3.0899
  0.64080913E+00 -0.30855088E+01	    0.4086   -3.0855
  0.66545563E+00 -0.30824028E+01	    0.4243   -3.0824
  0.69010214E+00 -0.30803088E+01	    0.4400   -3.0803
  0.71474864E+00 -0.30790696E+01	    0.4557   -3.0790
  0.73939515E+00 -0.30786241E+01	    0.4714   -3.0786
  0.76444021E+00 -0.30789106E+01	    0.4874   -3.0788
  0.78948528E+00 -0.30796814E+01	    0.5033   -3.0795
  0.81453034E+00 -0.30808212E+01	    0.5193   -3.0806
  0.83957541E+00 -0.30822547E+01	    0.5353   -3.0822
  0.86462047E+00 -0.30840225E+01	    0.5512   -3.0843
  0.88966553E+00 -0.30862676E+01	    0.5672   -3.0869
  0.91471060E+00 -0.30891707E+01	    0.5832   -3.0899
  0.93975566E+00 -0.30928909E+01	    0.5991   -3.0935
  0.96480073E+00 -0.30974904E+01	    0.6151   -3.0977
  0.98984579E+00 -0.31028296E+01	    0.6311   -3.1023
  0.10148909E+01 -0.31085301E+01	    0.6470   -3.1076
  0.10399359E+01 -0.31141584E+01	    0.6630   -3.1133
  0.10649810E+01 -0.31195454E+01	    0.6790   -3.1195
  0.10900260E+01 -0.31248912E+01	    0.6950   -3.1260
  0.11150711E+01 -0.31305165E+01	    0.7109   -3.1326
  0.11401162E+01 -0.31365854E+01	    0.7269   -3.1392
  0.11651612E+01 -0.31430834E+01	    0.7429   -3.1455
  0.11902063E+01 -0.31499009E+01	    0.7588   -3.1512
  0.12152514E+01 -0.31567298E+01	    0.7748   -3.1560
  0.12402964E+01 -0.31628408E+01	    0.7908   -3.1597
  0.12653415E+01 -0.31671393E+01	    0.8067   -3.1622
  0.12903866E+01 -0.31686708E+01	    0.8227   -3.1633
  0.13154316E+01 -0.31671964E+01	    0.8387   -3.1629
  0.13404767E+01 -0.31633299E+01	    0.8546   -3.1611
  0.13655218E+01 -0.31581943E+01	    0.8706   -3.1580
  0.13905668E+01 -0.31529013E+01	    0.8866   -3.1538
  0.14149669E+01 -0.31771422E+01	    0.9021   -3.1833
  0.14393669E+01 -0.32122299E+01	    0.9177   -3.2231
  0.14637669E+01 -0.32619036E+01	    0.9332   -3.2731
  0.14881670E+01 -0.33249923E+01	    0.9488   -3.3313
  0.15125670E+01 -0.33952319E+01	    0.9643   -3.3941
  0.15369671E+01 -0.34654533E+01	    0.9799   -3.4586
  0.15613671E+01 -0.35311422E+01	    0.9955   -3.5224
  0.15857671E+01 -0.35910925E+01	    1.0110   -3.5841
  0.16101672E+01 -0.36459952E+01	    1.0266   -3.6426
  0.16345672E+01 -0.36968530E+01	    1.0421   -3.6972
  0.16589673E+01 -0.37443231E+01	    1.0577   -3.7475
  0.16833673E+01 -0.37886638E+01	    1.0732   -3.7932
  0.17077673E+01 -0.38297559E+01	    1.0888   -3.8339
  0.17321674E+01 -0.38671249E+01	    1.1044   -3.8695
  0.17565674E+01 -0.38999986E+01	    1.1199   -3.8999
  0.17809675E+01 -0.39273935E+01	    1.1355   -3.9248
  0.18053675E+01 -0.39483191E+01	    1.1510   -3.9443
  0.18297675E+01 -0.39621453E+01	    1.1666   -3.9583
  0.18541676E+01 -0.39689393E+01	    1.1821   -3.9667
  0.18785676E+01 -0.39694583E+01	    1.1977   -3.9695
  0.00000000E+00 -0.31145487E+01	    0.0000   -3.1145
  0.24646505E-01 -0.31142271E+01	    0.0157   -3.1138
  0.49293010E-01 -0.31119530E+01	    0.0314   -3.1115
  0.73939515E-01 -0.31079893E+01	    0.0471   -3.1078
  0.98586020E-01 -0.31028136E+01	    0.0629   -3.1028
  0.12323252E+00 -0.30967730E+01	    0.0786   -3.0968
  0.14787903E+00 -0.30899500E+01	    0.0943   -3.0898
  0.17252553E+00 -0.30823070E+01	    0.1100   -3.0820
  0.19717204E+00 -0.30738741E+01	    0.1257   -3.0736
  0.22181854E+00 -0.30647739E+01	    0.1414   -3.0647
  0.24646505E+00 -0.30551068E+01	    0.1571   -3.0551
  0.27111155E+00 -0.30448333E+01	    0.1728   -3.0448
  0.29575806E+00 -0.30336919E+01	    0.1886   -3.0335
  0.32040456E+00 -0.30210815E+01	    0.2043   -3.0207
  0.34505107E+00 -0.30058674E+01	    0.2200   -3.0054
  0.36969757E+00 -0.29861862E+01	    0.2357   -2.9862
  0.39434408E+00 -0.29594312E+01	    0.2514   -2.9609
  0.41899058E+00 -0.29227748E+01	    0.2671   -2.9263
  0.44363709E+00 -0.28744501E+01	    0.2828   -2.8794
  0.46828359E+00 -0.28146118E+01	    0.2986   -2.8184
  0.49293010E+00 -0.27442516E+01	    0.3143   -2.7443
  0.51757660E+00 -0.26637415E+01	    0.3300   -2.6595
  0.54222311E+00 -0.25731572E+01	    0.3457   -2.5666
  0.56686961E+00 -0.24735852E+01	    0.3614   -2.4678
  0.59151612E+00 -0.23675696E+01	    0.3771   -2.3646
  0.61616262E+00 -0.22585711E+01	    0.3928   -2.2586
  0.64080913E+00 -0.22581514E+01	    0.4086   -2.2581
  0.66545563E+00 -0.22597932E+01	    0.4243   -2.2597
  0.69010214E+00 -0.22609594E+01	    0.4400   -2.2608
  0.71474864E+00 -0.22616202E+01	    0.4557   -2.2615
  0.73939515E+00 -0.22617781E+01	    0.4714   -2.2618
  0.76444021E+00 -0.22617107E+01	    0.4874   -2.2616
  0.78948528E+00 -0.22613094E+01	    0.5033   -2.2611
  0.81453034E+00 -0.22605022E+01	    0.5193   -2.2602
  0.83957541E+00 -0.22592672E+01	    0.5353   -2.2591
  0.86462047E+00 -0.22576855E+01	    0.5512   -2.2577
  0.88966553E+00 -0.22560104E+01	    0.5672   -2.2561
  0.91471060E+00 -0.22650272E+01	    0.5832   -2.2719
  0.93975566E+00 -0.23331509E+01	    0.5991   -2.3396
  0.96480073E+00 -0.23997055E+01	    0.6151   -2.4037
  0.98984579E+00 -0.24617214E+01	    0.6311   -2.4632
  0.10148909E+01 -0.25179003E+01	    0.6470   -2.5177
  0.10399359E+01 -0.25676332E+01	    0.6630   -2.5671
  0.10649810E+01 -0.26111939E+01	    0.6790   -2.6112
  0.10900260E+01 -0.26491502E+01	    0.6950   -2.6501
  0.11150711E+01 -0.26817082E+01	    0.7109   -2.6836
  0.11401162E+01 -0.27088414E+01	    0.7269   -2.7121
  0.11651612E+01 -0.27309462E+01	    0.7429   -2.7356
  0.11902063E+01 -0.27490667E+01	    0.7588   -2.7544
  0.12152514E+01 -0.27643272E+01	    0.7748   -2.7688
  0.12402964E+01 -0.27771608E+01	    0.7908   -2.7789
  0.12653415E+01 -0.27870338E+01	    0.8067   -2.7851
  0.12903866E+01 -0.27927570E+01	    0.8227   -2.7875
  0.13154316E+01 -0.27930530E+01	    0.8387   -2.7862
  0.13404767E+01 -0.27871624E+01	    0.8546   -2.7812
  0.13655218E+01 -0.27753932E+01	    0.8706   -2.7725
  0.13905668E+01 -0.27592722E+01	    0.8866   -2.7600
  0.14149669E+01 -0.28278394E+01	    0.9021   -2.8310
  0.14393669E+01 -0.28858747E+01	    0.9177   -2.8888
  0.14637669E+01 -0.29315870E+01	    0.9332   -2.9330
  0.14881670E+01 -0.29651232E+01	    0.9488   -2.9654
  0.15125670E+01 -0.29894187E+01	    0.9643   -2.9894
  0.15369671E+01 -0.30078918E+01	    0.9799   -3.0077
  0.15613671E+01 -0.30228189E+01	    0.9955   -3.0225
  0.15857671E+01 -0.30353817E+01	    1.0110   -3.0350
  0.16101672E+01 -0.30462701E+01	    1.0266   -3.0460
  0.16345672E+01 -0.30560604E+01	    1.0421   -3.0561
  0.16589673E+01 -0.30652245E+01	    1.0577   -3.0655
  0.16833673E+01 -0.30740091E+01	    1.0732   -3.0743
  0.17077673E+01 -0.30823967E+01	    1.0888   -3.0826
  0.17321674E+01 -0.30901798E+01	    1.1044   -3.0902
  0.17565674E+01 -0.30970977E+01	    1.1199   -3.0971
  0.17809675E+01 -0.31029603E+01	    1.1355   -3.1031
  0.18053675E+01 -0.31076826E+01	    1.1510   -3.1079
  0.18297675E+01 -0.31112311E+01	    1.1666   -3.1116
  0.18541676E+01 -0.31135532E+01	    1.1821   -3.1138
  0.18785676E+01 -0.31145487E+01	    1.1977   -3.1145
  0.00000000E+00 -0.25954214E+01	    0.0000   -2.5954
  0.24646505E-01 -0.25940013E+01	    0.0157   -2.5931
  0.49293010E-01 -0.25866119E+01	    0.0314   -2.5861
  0.73939515E-01 -0.25739326E+01	    0.0471   -2.5745
  0.98586020E-01 -0.25570573E+01	    0.0629   -2.5580
  0.12323252E+00 -0.25365349E+01	    0.0786   -2.5365
  0.14787903E+00 -0.25117935E+01	    0.0943   -2.5101
  0.17252553E+00 -0.24815043E+01	    0.1100   -2.4784
  0.19717204E+00 -0.24446519E+01	    0.1257   -2.4417
  0.22181854E+00 -0.24014460E+01	    0.1414   -2.3999
  0.24646505E+00 -0.23533847E+01	    0.1571   -2.3534
  0.27111155E+00 -0.23027329E+01	    0.1728   -2.3032
  0.29575806E+00 -0.22539844E+01	    0.1886   -2.2537
  0.32040456E+00 -0.22243929E+01	    0.2043   -2.2239
  0.34505107E+00 -0.22192183E+01	    0.2200   -2.2190
  0.36969757E+00 -0.22208446E+01	    0.2357   -2.2208
  0.39434408E+00 -0.22241609E+01	    0.2514   -2.2243
  0.41899058E+00 -0.22280784E+01	    0.2671   -2.2283
  0.44363709E+00 -0.22322239E+01	    0.2828   -2.2324
  0.46828359E+00 -0.22363921E+01	    0.2986   -2.2365
  0.49293010E+00 -0.22404357E+01	    0.3143   -2.2404
  0.51757660E+00 -0.22442411E+01	    0.3300   -2.2442
  0.54222311E+00 -0.22477278E+01	    0.3457   -2.2477
  0.56686961E+00 -0.22508587E+01	    0.3614   -2.2508
  0.59151612E+00 -0.22536347E+01	    0.3771   -2.2536
  0.61616262E+00 -0.22557565E+01	    0.3928   -2.2558
  0.64080913E+00 -0.22024943E+01	    0.4086   -2.2024
  0.66545563E+00 -0.22033150E+01	    0.4243   -2.2032
  0.69010214E+00 -0.22039167E+01	    0.4400   -2.2038
  0.71474864E+00 -0.22042266E+01	    0.4557   -2.2041
  0.73939515E+00 -0.22042691E+01	    0.4714   -2.2043
  0.76444021E+00 -0.22044496E+01	    0.4874   -2.2043
  0.78948528E+00 -0.22046203E+01	    0.5033   -2.2043
  0.81453034E+00 -0.22046523E+01	    0.5193   -2.2042
  0.83957541E+00 -0.22045068E+01	    0.5353   -2.2042
  0.86462047E+00 -0.22042744E+01	    0.5512   -2.2042
  0.88966553E+00 -0.22044678E+01	    0.5672   -2.2052
  0.91471060E+00 -0.22513019E+01	    0.5832   -2.2527
  0.93975566E+00 -0.22513525E+01	    0.5991   -2.2516
  0.96480073E+00 -0.22495842E+01	    0.6151   -2.2495
  0.98984579E+00 -0.22476874E+01	    0.6311   -2.2473
  0.10148909E+01 -0.22456506E+01	    0.6470   -2.2452
  0.10399359E+01 -0.22434881E+01	    0.6630   -2.2432
  0.10649810E+01 -0.22413288E+01	    0.6790   -2.2413
  0.10900260E+01 -0.22393803E+01	    0.6950   -2.2397
  0.11150711E+01 -0.22378413E+01	    0.7109   -2.2384
  0.11401162E+01 -0.22368248E+01	    0.7269   -2.2374
  0.11651612E+01 -0.22363212E+01	    0.7429   -2.2367
  0.11902063E+01 -0.22362110E+01	    0.7588   -2.2363
  0.12152514E+01 -0.22363278E+01	    0.7748   -2.2362
  0.12402964E+01 -0.22365379E+01	    0.7908   -2.2363
  0.12653415E+01 -0.22367884E+01	    0.8067   -2.2366
  0.12903866E+01 -0.22371011E+01	    0.8227   -2.2371
  0.13154316E+01 -0.22375274E+01	    0.8387   -2.2376
  0.13404767E+01 -0.22380990E+01	    0.8546   -2.2383
  0.13655218E+01 -0.22388031E+01	    0.8706   -2.2389
  0.13905668E+01 -0.22395831E+01	    0.8866   -2.2397
  0.14149669E+01 -0.22353229E+01	    0.9021   -2.2357
  0.14393669E+01 -0.22311010E+01	    0.9177   -2.2317
  0.14637669E+01 -0.22270413E+01	    0.9332   -2.2276
  0.14881670E+01 -0.22233382E+01	    0.9488   -2.2237
  0.15125670E+01 -0.22205187E+01	    0.9643   -2.2204
  0.15369671E+01 -0.22205268E+01	    0.9799   -2.2191
  0.15613671E+01 -0.22327685E+01	    0.9955   -2.2259
  0.15857671E+01 -0.22705777E+01	    1.0110   -2.2592
  0.16101672E+01 -0.23151091E+01	    1.0266   -2.3088
  0.16345672E+01 -0.23575764E+01	    1.0421   -2.3582
  0.16589673E+01 -0.23982231E+01	    1.0577   -2.4039
  0.16833673E+01 -0.24375012E+01	    1.0732   -2.4448
  0.17077673E+01 -0.24748083E+01	    1.0888   -2.4808
  0.17321674E+01 -0.25087600E+01	    1.1044   -2.5118
  0.17565674E+01 -0.25378700E+01	    1.1199   -2.5377
  0.17809675E+01 -0.25611106E+01	    1.1355   -2.5587
  0.18053675E+01 -0.25780994E+01	    1.1510   -2.5749
  0.18297675E+01 -0.25890246E+01	    1.1666   -2.5863
  0.18541676E+01 -0.25945106E+01	    1.1821   -2.5932
  0.18785676E+01 -0.25954214E+01	    1.1977   -2.5954
  0.00000000E+00 -0.21637793E+01	    0.0000   -2.1638
  0.24646505E-01 -0.21642356E+01	    0.0157   -2.1641
  0.49293010E-01 -0.21649822E+01	    0.0314   -2.1650
  0.73939515E-01 -0.21663841E+01	    0.0471   -2.1665
  0.98586020E-01 -0.21683962E+01	    0.0629   -2.1684
  0.12323252E+00 -0.21709059E+01	    0.0786   -2.1709
  0.14787903E+00 -0.21738142E+01	    0.0943   -2.1738
  0.17252553E+00 -0.21770076E+01	    0.1100   -2.1769
  0.19717204E+00 -0.21803627E+01	    0.1257   -2.1803
  0.22181854E+00 -0.21837226E+01	    0.1414   -2.1837
  0.24646505E+00 -0.21867729E+01	    0.1571   -2.1868
  0.27111155E+00 -0.21885702E+01	    0.1728   -2.1886
  0.29575806E+00 -0.21849344E+01	    0.1886   -2.1848
  0.32040456E+00 -0.21790489E+01	    0.2043   -2.1788
  0.34505107E+00 -0.21809677E+01	    0.2200   -2.1809
  0.36969757E+00 -0.21829304E+01	    0.2357   -2.1829
  0.39434408E+00 -0.21849679E+01	    0.2514   -2.1850
  0.41899058E+00 -0.21870662E+01	    0.2671   -2.1871
  0.44363709E+00 -0.21891738E+01	    0.2828   -2.1892
  0.46828359E+00 -0.21912276E+01	    0.2986   -2.1912
  0.49293010E+00 -0.21931787E+01	    0.3143   -2.1932
